CMTE_ID,FILE_NUM,TRANSACTION_TP,Month,Day,Year,TRANSACTION_AMT,STATE,ENTITY_TYPE,CAND_ID,CAND_NAME,OFFICE,PTY
45,714521,24K,1,1,2011,30000,GA,PAC,1298,1000 Friends of Maryland,H,REP
45,722322,24K,1,1,2012,35000,CA,PAC,1298,1000 Friends of Maryland,H,REP
45,804544,24K,1,1,2014,90000,LA,PAC,1298,1000 Friends of Maryland,H,DEM
45,804544,24K,1,1,2011,65000,TN,PAC,786,American Farmland Trust,H,REP
45,772136,24K,1,1,2011,5000,IL,PAC,819,Baltimore Green Space,H,REP
45,734911,24K,1,1,2013,5000,TX,PAC,819,Baltimore Green Space,H,REP
45,734911,24K,1,1,2011,5000,VA,PAC,837,Blue Water Baltimore,H,REP
45,734911,24K,1,1,2013,25000,CT,PAC,837,Blue Water Baltimore,H,DEM
45,734911,24K,1,1,2013,5000,MI,PAC,894,Chesapeake Bay Foundation,H,REP
45,722322,24K,1,1,2011,78700,NJ,PAC,883,Center for Watershed Protection,H,REP
45,716625,24K,1,1,2011,5000,AL,PAC,894,Chesapeake Bay Foundation,H,REP
45,716625,24K,1,1,2012,5000,AL,PAC,894,Chesapeake Bay Foundation,H,REP
45,723414,24K,1,1,2013,5000,OH,PAC,894,Chesapeake Bay Foundation,H,REP
45,738932,24K,1,1,2013,5000,FL,PAC,894,Chesapeake Bay Foundation,H,REP
45,738932,24K,1,1,2013,5000,TX,PAC,899,Chesapeake Climate Action Network,H,REP
45,764844,24K,1,1,2011,50000,AZ,PAC,903,Chesapeake Legal Alliance,H,REP
45,738932,24K,1,1,2013,35000,NC,PAC,903,Chesapeake Legal Alliance,H,REP
45,786593,24E,1,1,2011,5000,MT,PAC,904,Chesapeake Media Service,H,REP
45,804544,24K,1,1,2012,5000,LA,PAC,906,Chesapeake Rivers Association,H,REP
45,757123,24K,1,1,2011,3500,TX,PAC,937,Clean Water Fund,H,DEM
45,725965,24K,1,1,2012,50000,AZ,PAC,1018,Environment Maryland Research and Policy Center,H,DEM
45,804544,24K,1,1,2012,88800,AL,PAC,1213,Maryland Environmental Service,H,DEM
45,721696,24K,1,1,2011,1000,,PAC,1214,Maryland Environmental Trust,H,REP
45,738932,24K,1,1,2012,1000,OH,PAC,1214,Maryland Environmental Trust,H,REP
45,729045,24K,1,1,2013,2000,WV,PAC,1214,Maryland Environmental Trust,H,DEM
45,734911,24K,1,1,2014,2000,CA,PAC,1214,Maryland Environmental Trust,H,REP
45,734911,24K,1,1,2011,10000,LA,PAC,1215,Maryland League of Conservation Voters Education Fund,H,REP
45,786594,24K,1,1,2012,10000,MT,PAC,1215,Maryland League of Conservation Voters Education Fund,H,REP
45,786594,24K,1,1,2012,20000,WY,PAC,1233,Midshore Riverkeeper Conservancy,H,REP
45,804544,24K,1,1,2013,20000,LA,PAC,1233,Midshore Riverkeeper Conservancy,H,REP
45,728898,24K,1,1,2013,20500,AL,PAC,1258,National Wildlife Federation - Mid-Atlantic Regional Center,H,REP
45,731615,24K,1,1,2011,3500,TX,PAC,1302,Patuxent Tidewater Land Trust,H,REP
45,731616,24K,1,1,2014,5000,CA,PAC,1362,Severn River Association,H,DEM
45,731615,24K,1,1,2012,34150,TX,PAC,1476,University of Maryland College Park,H,REP
45,772139,24K,1,1,2011,31500,MI,PAC,1505,Waterfront Partnership of Baltimore,H,REP
45,772139,24K,1,1,2011,239110,GA,PAC,1505,Waterfront Partnership of Baltimore,H,DEM
45,804544,24K,1,1,2012,109200,LA,PAC,1505,Waterfront Partnership of Baltimore,H,DEM
45,731615,24K,1,1,2013,25000,IL,PAC,1505,Waterfront Partnership of Baltimore,H,DEM
46,731615,24K,1,1,2014,65000,OR,PAC,898,Chesapeake Bay Trust,H,DEM
46,731615,24K,1,1,2013,10000,TX,PAC,948,Community Alliance for Preservation,H,REP
46,731615,24K,1,1,2012,10000,TX,PAC,1063,Friends of the North Fork Shenandoah River,H,REP
46,731615,24K,1,1,2011,55000,IL,PAC,1308,Piedmont Environmental Council,H,REP
46,731615,24K,1,1,2014,30000,NJ,PAC,1308,Piedmont Environmental Council,H,DEM
46,731615,24K,1,1,2013,25000,OH,PAC,1308,Piedmont Environmental Council,H,REP
46,731186,24K,1,1,2012,80000,CA,PAC,1308,Piedmont Environmental Council,H,REP
46,731615,24K,1,1,2012,500,TN,PAC,1308,Piedmont Environmental Council,H,REP
46,731615,24K,1,1,2013,10000,MO,PAC,1340,River Network,H,REP
46,731615,24K,1,1,2012,10000,IL,PAC,1366,Shenandoah Forum,H,REP
46,731615,24K,1,1,2013,27500,NY,PAC,1368,Shenandoah Resource Conservation and Development Council,H,REP
46,804544,24K,1,1,2011,5000,FL,PAC,1368,Shenandoah Resource Conservation and Development Council,H,REP
46,734911,24K,1,1,2012,25000,FL,PAC,1369,Shenandoah Valley Battlefields Foundation,H,REP
46,731615,24K,1,1,2013,25000,DC,PAC,1381,Southern Environmental Law Center,H,REP
46,758399,24K,1,1,2014,20000,CA,PAC,1316,Potomac Conservancy,H,DEM
46,758399,24K,1,1,2011,25000,UT,PAC,1316,Potomac Conservancy,H,DEM
46,731693,24K,1,1,2011,15000,AZ,PAC,1485,Valley Conservation Council,H,DEM
46,731693,24K,1,1,2011,5000,IA,PAC,1488,Virginia Conservation Network,H,REP
46,736868,24K,1,1,2011,25000,OH,PAC,1494,Virginia League of Conservation Voters Education Fund,H,REP
46,736868,24K,1,1,2011,15000,CA,PAC,1523,Wild Virginia,H,DEM
46,736868,24K,1,1,2011,75000,OH,PAC,898,Chesapeake Bay Trust,H,REP
46,736868,24K,1,1,2011,10000,MN,PAC,948,Community Alliance for Preservation,H,REP
46,736868,24K,1,1,2011,10000,IL,PAC,1063,Friends of the North Fork Shenandoah River,H,REP
46,733717,24K,1,1,2011,5000,WA,PAC,1067,Friends of the Rivers of Virginia,H,DEM
46,734911,24K,1,1,2011,4500,WI,PAC,1282,Northern Shenandoah Valley Regional Commission,H,REP
46,738932,24K,1,1,2011,59500,VA,PAC,1308,Piedmont Environmental Council,H,DEM
46,758599,24K,1,1,2011,30000,PA,PAC,1308,Piedmont Environmental Council,H,DEM
46,772140,24K,1,1,2011,20000,AL,PAC,1308,Piedmont Environmental Council,H,REP
46,786594,24K,1,1,2011,70000,MT,PAC,1308,Piedmont Environmental Council,H,REP
46,736868,24K,1,1,2011,7500,OH,PAC,1340,River Network,H,REP
46,736868,24K,1,1,2011,10000,AL,PAC,1366,Shenandoah Forum,H,REP
46,736868,24K,1,1,2011,22500,CA,PAC,1381,Southern Environmental Law Center,H,DEM
46,736868,24K,1,1,2011,15000,IL,PAC,1316,Potomac Conservancy,H,DEM
46,736868,24K,1,1,2011,30000,TX,PAC,1317,Potomac Riverkeeper,H,DEM
46,738932,24K,1,1,2011,10000,OH,PAC,1485,Valley Conservation Council,H,DEM
46,804544,24K,1,1,2011,22500,TN,PAC,1485,Valley Conservation Council,H,REP
46,733717,24K,1,1,2011,5000,NV,PAC,1488,Virginia Conservation Network,H,DEM
